unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784089848.7551174,-0.00292,0.00934,-0.99782,0.00521,0.00328,0.00689
1784089848.8585043,0.19963,0.01356,-0.98898,0.00079,0.03316,0.02315
1784089848.9549177,0.23115,0.03243,-1.01375,0.01155,0.00519,-0.00103
1784089849.0572243,0.15411,0.01677,-1.00418,-0.0479,-0.0306,-0.05221
1784089849.157312,0.17247,-0.00761,-0.97944,0.00891,-0.03204,-0.00466
1784089849.2750828,-0.03261,0.0285,-0.99064,0.0104,-0.04154,-0.01132
1784089849.3760283,-0.03105,-0.00942,-1.03445,-0.02407,0.05261,0.01554
1784089849.475313,0.10272,0.02134,-1.00983,-0.04448,-0.08497,-0.00852
1784089849.5756607,-0.24394,0.00838,-0.99193,-0.02597,-0.03598,-0.0122
1784089849.6750755,0.03493,0.00488,-1.01127,0.01964,0.00841,-0.0002
1784089849.7748764,-0.11268,0.02293,-1.0023,0.02274,-0.08426,-0.0229
1784089849.8750749,-0.11952,0.03669,-0.98422,0.00314,0.01781,0.0108
1784089849.9742708,0.07224,0.03006,-0.99546,-0.00456,0.01863,0.00525
1784089850.0749097,-0.23661,0.01517,-0.98031,0.00894,0.01563,-0.04837
1784089850.1750124,0.05143,0.06137,-0.97651,-0.01303,0.04659,-0.04264
1784089850.277206,-0.01973,-0.01516,-0.99435,-0.00822,0.00731,0.01267
1784089850.3947866,-0.02343,0.0051,-1.0056,0.03112,-0.01191,-0.00583
1784089850.496384,-0.04931,-0.02023,-1.00179,0.00116,0.00963,0.0467
1784089850.5957167,-0.02602,0.02621,-0.99784,0.03161,-0.00213,-0.00777
1784089850.6957593,-0.02298,-0.00797,-1.00141,0.01769,-0.0027,-0.00411
1784089850.7954328,-0.02119,0.01498,-0.999,0.01082,0.0007,-0.01091
1784089850.8963966,-0.0245,-0.00122,-0.9951,-0.00734,0.01007,0.03573
1784089850.9982824,-0.02037,0.02157,-0.99327,0.01635,0.01182,0.01196
1784089851.0943046,-0.03192,0.01801,-0.99242,-0.00694,0.00789,-0.01326
1784089851.1969454,-0.02774,0.01127,-0.99554,-0.00263,0.005,0.01946
1784089851.3153517,-0.11215,-0.16296,-1.00111,0.00845,-0.0291,0.44181
1784089851.4154918,-0.05694,0.07055,-0.99843,0.01058,-0.0041,0.37972
1784089851.5150156,-0.01154,-0.01286,-0.99471,0.00721,-0.00047,0.50083
1784089851.6163068,0.03604,-0.01892,-0.99611,0.01464,0.01211,0.46379
1784089851.7143037,-0.01048,0.01093,-1.00463,0.02283,-0.01033,0.5193
1784089851.814949,-0.03098,0.03791,-1.00193,-0.0112,-0.00927,0.51017
1784089851.9162712,-0.04445,-0.03093,-1.0001,0.00549,-0.00478,0.53838
1784089852.0165691,0.00418,0.02131,-0.99688,-0.00307,-0.00113,0.49833
1784089852.1166687,0.01564,-0.01074,-0.99935,-0.0006,0.00808,0.50964
1784089852.2160943,-0.00065,0.0497,-1.00126,0.02343,-0.00219,0.5081
1784089852.315722,-0.01659,0.01829,-0.99153,0.00708,0.00125,0.51298
1784089852.4158025,-0.02639,0.00221,-0.99907,-0.00168,0.00741,0.51414
1784089852.5162685,-0.02698,0.03082,-0.9979,0.00635,-0.00372,0.51206
1784089852.617217,0.00515,0.01629,-0.99762,0.01749,-0.01014,0.51829
1784089852.7172558,-0.01971,-0.00434,-0.98869,0.02473,0.01072,0.5656
1784089852.8359673,-0.01916,0.02679,-0.99633,-0.00705,-0.00166,0.46024
1784089852.9360652,-0.01272,0.00879,-0.9905,0.00833,-0.00381,0.57062
1784089853.0357368,0.02645,0.00253,-0.99634,-0.00622,0.0016,0.47637
1784089853.1373732,-0.01589,0.01971,-1.00248,0.01619,-0.01313,0.54302
1784089853.238744,-0.03001,0.03372,-0.99188,0.02957,0.01248,0.49682
1784089853.3362415,-0.0139,-0.0074,-0.99089,0.01379,0.00056,0.55428
1784089853.4372654,-0.00446,0.03203,-0.99445,0.01134,-0.00294,0.51893
1784089853.537287,0.01385,-0.00815,-0.99736,0.00142,-0.00482,0.45985
1784089853.6369808,-0.01975,0.05415,-1.00296,-0.00392,-0.00749,0.54227
1784089853.7366009,-0.02561,0.03275,-0.99801,0.01156,0.0128,0.53127
1784089853.8362827,0.01278,-0.01369,-0.99704,0.00876,-0.00047,0.5198
1784089853.9368896,0.01669,0.04312,-0.99505,0.02613,-0.00336,0.49457
1784089854.036673,-0.02422,-0.01974,-1.0121,-0.01697,-0.00582,0.54997
1784089854.1373951,-0.02454,0.03893,-0.99458,0.00229,-0.00206,0.54202
1784089854.2560945,0.00339,0.04946,-0.99212,0.00361,-0.0066,0.4737
1784089854.3559966,0.10238,-0.03726,-1.01892,0.00405,0.00706,-0.14176
1784089854.4572554,0.22678,0.0326,-0.98008,0.03946,-0.00749,-0.04897
1784089854.5569854,0.19664,0.0251,-0.98011,-0.04496,0.00732,0.06795
1784089854.6572387,0.14905,0.07864,-0.98483,0.01636,-0.00108,-0.02144
1784089854.7559247,-0.03582,0.0278,-0.9777,0.04877,0.01601,-0.02972
1784089854.8560328,-0.02825,0.01359,-1.02131,-0.06005,0.03943,0.04936
1784089854.9560714,0.07717,0.02261,-1.02193,-0.00228,-0.08505,0.02633
1784089855.0557826,-0.26864,0.01395,-1.01287,-0.03257,-0.02905,0.03215
1784089855.1580398,0.04976,0.02544,-1.00359,0.00606,0.02216,0.01432
1784089855.2758753,-0.1555,0.04794,-0.99792,0.03518,-0.00142,-0.05007
1784089855.3758855,-0.09309,-0.01047,-1.00189,-0.06946,0.00998,0.06607
1784089855.4759371,0.02473,-0.00636,-0.98225,0.01085,-0.00515,-0.01038
1784089855.5756555,-0.23322,-0.00419,-1.00004,0.01099,0.02008,0.02261
1784089855.6770806,0.08005,0.03116,-0.97148,0.02414,0.04731,-0.0125
1784089855.775904,-0.02237,-0.01314,-0.99513,0.00801,0.00913,-0.02506
1784089855.8769858,-0.01815,0.03166,-1.00024,0.01487,0.00277,-0.01254
1784089855.975659,-0.02224,-0.00383,-0.99185,-0.00078,0.00378,-0.00375
1784089856.0756762,-0.01799,0.02628,-1.00186,0.00833,0.00266,-0.00653
1784089856.1770422,-0.02596,-0.00381,-0.9975,0.01103,-0.00304,0.00194
1784089856.2772474,-0.03743,-0.0055,-1.00273,-0.02032,-0.00789,0.02028
1784089856.375901,-0.02342,0.0207,-0.99574,0.00333,-0.00906,-0.00665
1784089856.4767554,-0.02723,0.00503,-0.99684,0.00159,-0.00043,0.02154
1784089856.5758698,-0.01926,0.02351,-0.99591,0.00527,0.00068,-0.00077
1784089856.6758835,-0.03377,0.01536,-0.99548,0.00816,0.00279,0.01141
1784089856.7765222,-0.07578,-0.14759,-1.01112,0.02855,0.01512,0.49467
1784089856.8771813,-0.03602,0.04978,-0.99979,0.00208,-0.00956,0.38012
1784089856.9967515,-0.02385,0.02382,-0.99415,0.00408,0.00293,0.49265
1784089857.0972397,0.05346,0.02628,-1.00989,0.00176,-0.00075,0.44041
1784089857.1960533,-0.01224,-0.01694,-0.99523,0.01737,-0.00023,0.54361
1784089857.295896,-0.02103,0.03323,-1.00456,-0.01902,-0.00148,0.53135
1784089857.397056,-0.03999,0.0236,-0.9959,0.01443,-0.00186,0.45365
1784089857.496024,-0.00213,-0.00126,-0.98919,0.00474,0.00752,0.62073
1784089857.5961902,0.00697,-0.01402,-0.99979,-0.0017,-0.00434,0.48209
1784089857.6960819,-0.03068,0.00404,-0.99803,0.00169,0.00359,0.55748
1784089857.7957466,-0.00421,0.05238,-1.00051,-0.01612,-0.00026,0.46927
1784089857.8959167,-0.01926,0.01593,-0.99349,0.01404,-0.01058,0.54057
1784089857.9960072,0.00186,-0.01827,-0.99177,0.02798,0.00373,0.57944
1784089858.0973742,-0.00868,0.01757,-0.99641,0.00495,0.00355,0.51289
1784089858.1976624,-0.00391,0.02804,-0.99382,0.00826,-0.02087,0.49606
1784089858.3166296,-0.00943,0.06514,-0.99489,-0.00071,0.00049,0.49641
1784089858.4171267,-0.02051,0.0122,-1.00072,0.01126,-0.00782,0.55465
1784089858.5161908,0.00045,-0.0157,-0.9951,0.01295,0.00677,0.59621
1784089858.617174,-0.01057,0.01529,-0.99033,0.01661,0.00712,0.54266
1784089858.7176511,-0.01481,0.01897,-0.99019,0.00241,0.0035,0.57059
1784089858.837348,0.00206,0.01899,-1.00154,0.01135,-5e-05,0.48419
1784089858.9375231,0.01379,-0.00052,-0.99556,-0.00086,-0.0107,0.57134
1784089859.0361054,-0.00462,0.01088,-0.99043,0.01989,-0.00089,0.521
1784089859.1375582,-0.025,-0.02044,-1.00373,-0.0103,-0.00554,0.49259
1784089859.2372644,0.0063,0.05122,-0.99059,0.0061,-0.00138,0.5332
1784089859.3366416,0.01689,0.04172,-1.00333,-0.0072,-0.00649,0.48336
1784089859.4573162,0.01752,0.00657,-0.9959,-0.00272,-0.0064,0.55552
1784089859.5574827,-0.01321,0.01384,-0.99219,0.00906,-0.00127,0.48437
1784089859.6574337,-0.01699,0.00506,-0.99512,0.01747,-0.00601,0.52416
1784089859.755606,0.01991,0.07466,-0.9904,0.00508,-0.01007,0.41578
1784089859.8561275,0.13802,-0.06637,-1.00957,0.04128,0.01405,-0.08061
1784089859.9573026,0.22112,0.05588,-0.9953,0.02678,0.01351,-0.0164
1784089860.0555153,0.17874,0.01992,-0.96935,0.01153,-0.02171,-0.03156
1784089860.1565354,0.1364,0.01822,-0.9614,0.03476,0.0443,0.00989
1784089860.2558198,-0.04773,0.02225,-1.02052,-0.01864,0.02048,0.00134
1784089860.3554542,0.00508,0.0415,-0.95946,0.02148,0.04067,-0.01025
1784089860.4555902,0.09204,0.00878,-1.01358,-0.0146,-0.02886,0.02414
1784089860.5559623,-0.26183,-0.0001,-1.01863,0.0425,-0.06741,-0.00986
1784089860.6566377,0.05103,0.02734,-1.00206,-0.02315,0.0278,-0.00629
1784089860.775798,-0.10392,0.05182,-0.95154,0.09911,-0.07918,-0.03545
1784089860.8761938,-0.15299,-0.01365,-1.01256,-0.02,0.01782,0.03096
1784089860.9769094,0.09161,-0.00208,-0.99813,0.04601,-0.00991,-0.01122
1784089861.075861,-0.24598,-0.00847,-0.98971,0.00822,0.00852,0.03266
1784089861.1766155,0.02378,-0.00931,-0.98387,-0.00606,0.03276,-0.01469
1784089861.2766273,-0.03693,0.04738,-0.99767,-0.00382,0.01679,0.04269
1784089861.377298,-0.0231,0.0333,-0.97085,0.01774,0.00418,0.02283
1784089861.4771152,-0.02815,0.01365,-1.0099,-0.00532,-0.01687,0.02529
1784089861.5773609,-0.02102,-0.0032,-0.99923,-0.0131,-0.00044,0.00463
1784089861.676716,-0.03009,0.01871,-0.99513,0.00843,0.01295,0.007
1784089861.7768357,-0.02993,0.02014,-0.99798,-0.00206,-0.0001,0.00795
1784089861.8771827,-0.01867,0.03097,-0.98776,0.00921,0.00325,-0.0066
1784089861.9760313,-0.01752,0.02966,-0.99693,0.00326,0.01088,0.00677
1784089862.0758917,-0.02315,0.02637,-0.98959,0.00214,-0.00031,0.02313
1784089862.1773145,-0.0108,0.03112,-0.99528,0.00215,-0.00165,-0.00358
1784089862.2959213,-0.05762,-0.03547,-0.96651,0.05711,-0.01282,0.17657
1784089862.3977077,-0.0816,-0.01252,-0.9995,0.00673,-0.01238,0.40848
1784089862.497793,-0.06697,0.04533,-0.98565,-0.00034,0.01321,0.49775
1784089862.5965545,0.04005,0.05596,-0.99851,-0.00246,-0.00748,0.48782
1784089862.6965616,0.03548,-0.00727,-0.99837,0.01963,-0.01402,0.48339
1784089862.7959902,-0.02545,-0.01651,-0.98656,0.03056,0.01214,0.53387
1784089862.8969662,-0.06869,0.02306,-0.98414,-0.00412,-0.00967,0.53926
1784089862.9959426,-0.00907,0.03689,-0.98903,0.00134,0.00918,0.48583
1784089863.0959146,0.0119,0.02619,-0.99331,0.00964,-0.00265,0.51783
1784089863.1960573,0.00601,-0.00174,-0.9965,-0.00419,-0.01174,0.5065
1784089863.3161957,-0.00927,0.00203,-0.99841,-0.00717,0.00563,0.55197
1784089863.4163852,-0.02997,0.02277,-1.00583,-0.00232,-0.00991,0.48006
1784089863.5161314,-0.00493,0.02823,-0.98587,0.0204,0.01438,0.56364
1784089863.6185606,0.01131,0.04619,-0.99297,0.00576,-0.01343,0.48836
1784089863.7169192,-0.00579,-0.02823,-0.99702,0.00792,-0.00695,0.54312
1784089863.8165646,-0.03076,0.02692,-0.99333,-0.00325,0.00747,0.45835
1784089863.917171,0.00361,0.03444,-0.99257,0.00864,-0.00775,0.56296
1784089864.0162358,-0.00635,-0.00203,-0.99939,0.00446,-0.00246,0.53863
1784089864.1158464,0.00994,0.04398,-0.99857,0.00562,-0.01806,0.48923
1784089864.2157593,-0.01804,-0.00041,-0.9943,0.00913,-0.00747,0.51746
1784089864.337219,-0.00417,0.01456,-0.99479,0.01564,-0.00079,0.5369
1784089864.4357889,-0.00318,0.00406,-0.99409,0.0122,0.00274,0.54437
1784089864.5356438,0.01552,0.02438,-0.9972,0.00578,-0.0037,0.50756
1784089864.636305,-0.02473,0.01224,-0.98716,0.01398,-0.00757,0.5411
1784089864.739545,-0.00699,-0.00735,-0.99548,0.00387,0.01603,0.51549
1784089864.8372598,0.00208,0.02839,-0.99482,0.00146,0.00439,0.51076
1784089864.937094,0.00295,-0.00098,-0.99498,0.00411,-0.00385,0.57796
1784089865.0359113,0.01163,0.0483,-0.99811,0.00154,0.00367,0.4476
1784089865.1371975,-0.0071,0.04472,-0.99852,0.00901,-0.01965,0.51794
1784089865.2374158,-0.00637,0.00437,-0.98816,0.01809,0.01801,0.51475
1784089865.3359163,0.03139,0.09378,-0.98769,0.00171,-0.0221,0.07604
1784089865.4374285,0.16952,-0.01957,-1.0009,0.08181,-0.01001,-0.03448
1784089865.5367672,0.23519,0.03113,-0.96576,-0.02016,0.02738,0.03097
1784089865.6372752,0.16836,0.03354,-0.96923,0.02415,-0.0161,0.01474
1784089865.7383258,0.11303,0.02794,-1.01861,-0.08821,-0.10753,0.00968
1784089865.8559322,-0.10777,0.01502,-1.04586,0.03622,-0.01721,0.0119
1784089865.9560735,0.13298,0.02146,-0.97294,0.01199,0.00542,0.01089
1784089866.0560415,-0.16956,-0.00039,-0.98961,0.13904,0.06109,-0.06264
1784089866.155926,-0.14261,-0.01884,-1.02169,-0.05025,-0.05927,-0.01024
1784089866.2556596,0.04885,0.03057,-1.00828,-0.04009,-0.00047,0.01803
1784089866.3560553,-0.22693,-0.00152,-0.99871,0.00534,-0.01158,0.00336
1784089866.456466,0.0745,0.00417,-1.02648,0.01065,0.03102,0.02213
1784089866.5560663,-0.13819,0.0389,-0.99925,0.01261,-0.02582,-0.02283
1784089866.6570659,-0.12401,0.01253,-0.99471,0.00425,0.0046,0.00417
1784089866.755923,0.137,0.00665,-1.00765,0.0063,0.03724,0.03002
1784089866.8571956,-0.02533,0.03067,-0.96449,0.01599,-0.00325,0.00695
1784089866.9564476,-0.02618,0.01443,-1.00272,0.0025,-0.00784,0.03238
1784089867.0571263,-0.02981,-0.00171,-0.99441,-0.00036,0.0126,0.03463
1784089867.1570632,-0.02283,0.05621,-0.97598,0.01462,0.00221,-0.00012
1784089867.2765982,-0.01764,0.01829,-0.99575,0.00239,0.00318,0.00361
1784089867.377174,-0.01638,0.0148,-0.98997,-0.00802,0.01406,0.01948
1784089867.4774566,-0.02044,0.01125,-0.99629,-0.00366,0.01594,0.03881
1784089867.5766108,-0.03768,-0.00911,-0.99291,0.02039,0.00348,0.02298
1784089867.6784568,-0.03195,0.0127,-0.99512,0.00906,0.0067,0.0142
1784089867.775747,-0.01377,0.01915,-0.99584,0.01078,-0.00106,-0.00164
1784089867.8759158,-0.09601,-0.1704,-1.01491,0.01096,0.00217,0.50852
1784089867.9766629,-0.03932,0.00116,-0.99843,0.01082,-0.0094,0.41505
1784089868.0780008,-0.01927,0.06657,-0.99657,0.01444,-0.00457,0.4794
1784089868.176727,0.01715,0.0506,-0.99519,0.01488,-0.00436,0.47159
1784089868.2758856,0.01344,-0.02061,-0.99082,0.01306,0.0004,0.53172
1784089868.3767076,-0.01538,-0.01986,-0.99301,-0.00581,0.00982,0.53866
1784089868.4759326,-0.01596,0.04009,-0.99824,-0.00881,-0.01442,0.52436
1784089868.5960398,0.00265,0.02092,-1.00864,-0.0046,0.0043,0.46998
1784089868.6960814,0.03431,0.03201,-0.99565,0.00992,-0.00171,0.52318
1784089868.795884,-0.00256,-0.01618,-0.99621,0.00743,-0.00347,0.5238
1784089868.8961105,-0.00424,0.0232,-0.99181,0.00889,-0.00896,0.52439
1784089868.9959593,-0.01203,0.03838,-0.99989,-0.00269,-0.00865,0.49973
1784089869.0953476,-0.00597,-0.00793,-0.99764,0.01066,0.01257,0.52949
1784089869.1975057,0.01156,0.02302,-1.00504,0.01285,-0.00542,0.5008
1784089869.2957551,0.00589,7e-05,-0.98817,0.01002,0.01533,0.56625
1784089869.4162405,-0.00724,0.02658,-0.9959,-0.00497,0.00646,0.50883
1784089869.5159545,-0.01103,-0.01012,-0.98927,0.00081,0.00322,0.56193
1784089869.6174717,-0.01077,-0.01715,-1.00002,0.00494,0.03354,0.50166
1784089869.7182658,0.01371,0.04031,-1.00691,0.00567,-0.01965,0.51432
1784089869.8170967,0.01683,0.00226,-0.99028,0.0104,-0.00489,0.57095
1784089869.9170964,0.00091,0.03403,-1.00001,-0.00959,-0.00572,0.4653
1784089870.0160983,-0.00752,0.01421,-0.98947,0.0061,0.00741,0.54266
1784089870.1157737,-0.00145,-0.0044,-1.00524,-0.01694,-0.00786,0.50886
1784089870.2159534,0.01937,0.05478,-0.9923,0.00085,-0.00155,0.52929
1784089870.3179376,0.0015,0.02883,-0.99339,0.00393,-0.0015,0.54629
1784089870.4387863,-0.01146,0.02155,-0.99377,0.01267,-0.01654,0.51309
1784089870.5374894,0.00284,-0.02268,-0.99814,-0.00603,0.00604,0.50923
1784089870.636451,0.00258,0.03211,-0.99372,0.00995,0.00267,0.52163
1784089870.7405865,-0.00847,-0.00611,-0.99709,0.01162,0.0035,0.49885
1784089870.8362453,0.01095,0.02029,-1.00194,-0.01037,-0.00285,0.49112
1784089870.9360833,-0.0031,0.05204,-0.99096,0.00476,0.00349,0.12332
1784089871.0564685,0.01169,0.02707,-0.99719,0.00891,0.00527,-0.01336
1784089871.1574051,0.01091,0.00692,-0.9967,0.00853,0.00387,-0.0005
1784089871.2573884,0.00611,0.0096,-0.99745,0.00975,0.00224,0.00335
